iter	Passed	Remaining
0	1	139
1	2	137
2	4	132
3	5	125
4	6	127
5	8	127
6	9	126
7	11	127
8	12	127
9	14	126
10	15	125
11	16	123
12	18	123
13	19	121
14	21	121
15	22	120
16	24	119
17	25	117
18	27	116
19	28	114
20	30	112
21	31	111
22	32	109
23	34	108
24	35	106
25	36	105
26	38	103
27	39	102
28	41	101
29	43	100
30	44	99
31	46	98
32	47	96
33	48	95
34	50	93
35	51	91
36	53	90
37	54	88
38	55	87
39	57	85
40	58	84
41	59	81
42	60	80
43	61	78
44	63	77
45	64	76
46	66	74
47	67	73
48	69	72
49	70	70
50	72	69
51	73	68
52	75	66
53	76	65
54	77	63
55	78	61
56	80	60
57	81	59
58	83	57
59	84	56
60	86	55
61	87	53
62	89	52
63	90	50
64	92	49
65	93	48
66	94	46
67	96	45
68	97	43
69	98	42
70	100	40
71	102	39
72	103	38
73	104	36
74	106	35
75	107	34
76	109	32
77	110	31
78	112	29
79	113	28
80	115	27
81	116	25
82	118	24
83	119	22
84	120	21
85	122	19
86	123	18
87	124	17
88	126	15
89	127	14
90	128	12
91	130	11
92	131	9
93	133	8
94	134	7
95	135	5
96	137	4
97	138	2
98	139	1
99	141	0
